Article title,Authors,Journal title,Volume,Issue,Pages,Volume year,DOI,Published online date,URL,Article views (as of 24-Mar-2025),Crossref citations (as of 24-Mar-2025)
"PERSON-ORGANIZATION INCONGRUENCE AS A PREDICTOR OF RIGHT-WING AUTHORITARIANISM, SOCIAL DOMINANCE ORIENTATION, AND HETEROSEXISM","Kristie L Seelman, N Eugene Walls",Journal of Social Work Education,46,1,p103 - p121,2010,10.5175/jswe.2010.200800082,16-Mar-2013,https://doi.org/10.5175/jswe.2010.200800082,120.0,17.0
Habla Conmigo: Teachers' Spanish Talk and Latine Dual Language Learners' School Readiness Skills,"Nail Hassairi, Maria Cristina Limlingan, Christine McWayne",Early Education and Development,33,4,p655 - p674,2022,10.1080/10409289.2021.1898227,22-Mar-2021,https://doi.org/10.1080/10409289.2021.1898227,815.0,7.0
Book Reviews,,Disability & Society,17,5,p585 - p591,2002,10.1080/09687590220140395,01-Jul-2010,https://doi.org/10.1080/09687590220140395,55.0,1.0
Teachers Unions in Turbulent Times: Maintaining Their Niche,Tamara V Young,Peabody Journal of Education,86,3,p338 - p351,2011,10.1080/0161956x.2011.579019,10-Jun-2011,https://doi.org/10.1080/0161956x.2011.579019,560.0,14.0
Forthcoming Special Series,,School Psychology Review,37,4,p582 - p582,2008,10.1080/02796015.2008.12087871,27-Dec-2019,https://doi.org/10.1080/02796015.2008.12087871,2.0,0.0
Factor Analysis at 100,Stanley A Mulaik,Structural Equation Modeling: A Multidisciplinary Journal,17,1,p150 - p164,2010,10.1080/10705510903439169,12-Jan-2010,https://doi.org/10.1080/10705510903439169,320.0,0.0
Accepted Manuscripts for Forthcoming Issues,,School Psychology Review,37,4,p582 - p582,2008,10.1080/02796015.2008.12087870,27-Dec-2019,https://doi.org/10.1080/02796015.2008.12087870,5.0,0.0
Resampling methods revisited: advancing the understanding and applications in educational research,"Haiyan Bai, Wei Pan",International Journal of Research & Method in Education,31,1,p45 - p62,2008,10.1080/17437270801919909,09-Apr-2008,https://doi.org/10.1080/17437270801919909,279.0,10.0
Job mobility among Korean youth: evidence from sequential analysis,"Young-Min Lee, Jung-Yon Lim",Journal of Education and Work,31,7-8,p676 - p691,2018,10.1080/13639080.2019.1572108,28-Jan-2019,https://doi.org/10.1080/13639080.2019.1572108,191.0,0.0
Applying Complex Adaptive Systems to Build Interdisciplinary Collaborations and Aid in Understanding Complicated Social Phenomena,"JoAnn S Lee, Michael Wolf-Branigin",Journal of Social Work Education,59,sup1,s23 - s35,2023,10.1080/10437797.2023.2213290,15-Jun-2023,https://doi.org/10.1080/10437797.2023.2213290,232.0,0.0
Is it the visit or the scholarship? An analysis of a special campus visitation program,"Matthew Birch, Robert Rosenman",Education Economics,28,2,p179 - p195,2020,10.1080/09645292.2019.1696750,26-Nov-2019,https://doi.org/10.1080/09645292.2019.1696750,142.0,0.0
Negotiating sexual safety in the era of biomedical HIV prevention: relationship dynamics among male couples using pre-exposure prophylaxis,"Angela R Bazzi, Blake E Johnson, Jowanna Malone, Kenneth H Mayer, Matthew J Mimiaga, Jennifer L Syvertsen","Culture, Health & Sexuality",20,6,p658 - p672,2018,10.1080/13691058.2017.1368711,05-Sep-2017,https://doi.org/10.1080/13691058.2017.1368711,544.0,34.0
"BOOK REVIEW: Generalized Latent Variable Modeling. Multilevel, Longitudinal, and Structural Equation Models by Anders Skrondal and Sophia Rabe-Hesketh",Alexander von Eye,Structural Equation Modeling: A Multidisciplinary Journal,13,2,p322 - p326,2006,10.1207/s15328007sem1302_8,19-Nov-2009,https://doi.org/10.1207/s15328007sem1302_8,117.0,0.0
Changes needed in style and content of teaching statistics to medical undergraduates,A Indrayan,International Journal of Mathematical Education in Science and Technology,17,1,p95 - p102,1986,10.1080/0020739860170113,09-Jul-2006,https://doi.org/10.1080/0020739860170113,19.0,2.0
A Mixture Response Time Process Model for Aberrant Behaviors and Item Nonresponses,"Jing Lu, Ningzhong Shi, Chun Wang",Multivariate Behavioral Research,58,1,p71 - p89,2023,10.1080/00273171.2021.1948815,06-Aug-2021,https://doi.org/10.1080/00273171.2021.1948815,653.0,13.0
Validation of Using Fitness Center Attendance Electronic Records to Assess the Frequency of Moderate/Vigorous Leisure-Time Physical Activity Among Adults,"Steve Amireault, Gaston Godin",Measurement in Physical Education and Exercise Science,18,1,p13 - p30,2014,10.1080/1091367x.2013.831765,09-Dec-2013,https://doi.org/10.1080/1091367x.2013.831765,829.0,5.0
"A Comparison of Statistical Criteria for Setting
Optimally Discriminating MCAT
and GPA Thresholds in Medical School Admissions","Mark A Albanese, Susan L Dottl, Philip Farrell",Teaching and Learning in Medicine,17,2,p149 - p158,2005,10.1207/s15328015tlm1702_9,15-Jun-2010,https://doi.org/10.1207/s15328015tlm1702_9,219.0,6.0
"Outline of a Problem Oriented, Computer Oriented and Applications Oriented High School Mathematics Course",Arthur Engel,International Journal of Mathematical Education in Science and Technology,4,4,p455 - p492,1973,10.1080/0020739730040408,09-Jul-2006,https://doi.org/10.1080/0020739730040408,26.0,5.0
Reviews,,Mathematics Magazine,59,4,p249 - p251,1986,10.1080/0025570x.1986.11977255,13-Feb-2018,https://doi.org/10.1080/0025570x.1986.11977255,11.0,0.0
Editor's Introduction,Michael A Berger,Peabody Journal of Education,60,2,p1 - p9,1983,10.1080/01619568309538391,04-Nov-2009,https://doi.org/10.1080/01619568309538391,6.0,0.0
"Review of Multilevel Modeling Using Mplus, by W. Holmes Finch & Jocelyn E. Bolin",Kevin Grimm,Structural Equation Modeling: A Multidisciplinary Journal,24,6,p960 - p962,2017,10.1080/10705511.2017.1347045,25-Jul-2017,https://doi.org/10.1080/10705511.2017.1347045,752.0,2.0
Faculty Forum,"Amy S Badura, Christina Boeltar, David M Carkenord, Michael B Casey, James R Cook, Michelle Dingus, C D Fernald, C James Goodwin, Gary D Levy, Gregory J Marchant, Lee I McCann, Michelle Mitchell, Patrick H Munley, Angela Neal-Barnett, Baron Perlman, Walt W Peters, Stephanie Petterson, Darren R Ritzer, Merry J Sleigh, Lee M Stadtlander",Teaching of Psychology,29,1,p44 - p69,2002,10.1207/s15328023top2901_11,20-Nov-2009,https://doi.org/10.1207/s15328023top2901_11,8.0,2.0
Methods for Evaluating the Validity of Test Scores for English Language Learners,"Kyung T Han, Stephen G Sireci, Craig S Wells",Educational Assessment,13,2-3,p108 - p131,2008,10.1080/10627190802394255,22-Oct-2008,https://doi.org/10.1080/10627190802394255,762.0,23.0
Assessing Change in Swimming Skills Using the Hierarchical Linear Model,"Sarah J Erbaugh, Weimo Zhu",Measurement in Physical Education and Exercise Science,1,3,p179 - p201,1997,10.1207/s15327841mpee0103_3,18-Nov-2009,https://doi.org/10.1207/s15327841mpee0103_3,101.0,5.0
Taking Stock and Moving Forward: Lessons From Two Plus Decades of Research on the Milwaukee Parental Choice Program,"Fredrik O Andersson, Michael R Ford",Journal of School Choice,13,2,p158 - p176,2019,10.1080/15582159.2017.1350085,28-Jul-2017,https://doi.org/10.1080/15582159.2017.1350085,354.0,1.0
Conference Announcements,,Paedagogica Historica,31,3,p910 - p933,1995,10.1080/00309230.1995.11869193,29-Mar-2017,https://doi.org/10.1080/00309230.1995.11869193,3.0,0.0
CONFERENCE ANNOUNCEMENTS,,Paedagogica Historica,31,3,p910 - p933,1995,10.1080/0030923950310309a,16-Dec-2010,https://doi.org/10.1080/0030923950310309a,21.0,1.0
"Race, school choice and transfers to opportunity: implications for educational stratification in South Africa",Lori Diane Hill,British Journal of Sociology of Education,37,4,p520 - p547,2016,10.1080/01425692.2014.952810,13-Oct-2014,https://doi.org/10.1080/01425692.2014.952810,1018.0,8.0
"Longitudinal relationships between social cohesion, mental health and functional disabilities in later life","Sok An, Kyeongmo Kim, Minhong Lee",Educational Gerontology,49,11,p1008 - p1019,2023,10.1080/03601277.2023.2197271,10-Apr-2023,https://doi.org/10.1080/03601277.2023.2197271,311.0,1.0
International early childhood resources from Educational Research Abstracts (ERA) online,,International Journal of Early Years Education,19,3-4,p315 - p323,2011,10.1080/09669760.2011.640591,21-Dec-2011,https://doi.org/10.1080/09669760.2011.640591,163.0,0.0
Investigating Ceiling Effects in Longitudinal Data Analysis,"John J McArdle, Timothy A Salthouse, Lijuan Wang, Zhiyong Zhang",Multivariate Behavioral Research,43,3,p476 - p496,2008,10.1080/00273170802285941,10-Sep-2008,https://doi.org/10.1080/00273170802285941,3155.0,192.0
Comparison among different patterns of priority vectors estimation methods,Stan Lipovetsky,International Journal of Mathematical Education in Science and Technology,39,3,p301 - p311,2008,10.1080/00207390701639532,27-Mar-2008,https://doi.org/10.1080/00207390701639532,55.0,5.0
A Tale of Two Cities: the impact of parental choice on admissions to primary schools in Edinburgh and Dundee,"Michael Adler, Gillian M Raab",Research Papers in Education,2,3,p157 - p176,1987,10.1080/0267152870020302,09-Jul-2006,https://doi.org/10.1080/0267152870020302,33.0,8.0
PLACEMENT IN FIRST-YEAR COLLEGE MATHEMATICS COURSES USING SCORES ON SAT-MATH AND A TEST OF ALGEBRA SKILLS,"Patricia Odell, Phyllis Schumacher",PRIMUS,5,1,p61 - p72,1995,10.1080/10511979508965774,13-Aug-2007,https://doi.org/10.1080/10511979508965774,37.0,5.0
Classification Based on Tree-Structured Allocation Rules,"Brandon K Vaughn, Qui Wang",The Journal of Experimental Education,76,3,p315 - p340,2008,10.3200/jexe.76.3.315-340,07-Aug-2010,https://doi.org/10.3200/jexe.76.3.315-340,71.0,3.0
Latent Logistic Interaction Modeling: A Simulation and Empirical Illustration of Type D Personality,"Johan Denollet, Wilco H M Emons, Paul Lodder, Jelte M Wicherts",Structural Equation Modeling: A Multidisciplinary Journal,28,3,p440 - p462,2021,10.1080/10705511.2020.1838905,02-Dec-2020,https://doi.org/10.1080/10705511.2020.1838905,2370.0,6.0
"The National Science Foundation Research
 Experiences for Undergraduates Program: Experiences and Recommendations","Charles I Abramson, Joy M Jacobs-Lawson, Melanie C Page",Teaching of Psychology,31,4,p241 - p247,2004,10.1207/s15328023top3104_3,20-Nov-2009,https://doi.org/10.1207/s15328023top3104_3,4.0,17.0
Using Equivalence Testing to Evaluate Goodness of Fit in Multilevel Structural Equation Models,"Katerina M Marcoulides, Ke-Hai Yuan",International Journal of Research & Method in Education,43,4,p431 - p443,2020,10.1080/1743727x.2020.1795113,28-Jul-2020,https://doi.org/10.1080/1743727x.2020.1795113,668.0,14.0
The Development of a Youth-Centered Attitude in Childhood,Werner Georg,International Journal of Adolescence and Youth,8,1,p27 - p43,2000,10.1080/02673843.2000.9747840,27-Mar-2012,https://doi.org/10.1080/02673843.2000.9747840,170.0,0.0
Examination of Trends in Covariance Structure Model Parameters: An Application to the Study of Increasing Complexity of Ability Measures,"George A Marcoulides, Tenko Raykov",Structural Equation Modeling: A Multidisciplinary Journal,8,4,p627 - p645,2001,10.1207/s15328007sem0804_07,19-Nov-2009,https://doi.org/10.1207/s15328007sem0804_07,89.0,0.0
Stress vulnerability in the first year of teaching,"Lauren Boyle, Paul G Fitchett, Richard G Lambert, Christopher J McCarthy",Teaching Education,31,4,p424 - p443,2020,10.1080/10476210.2019.1635108,03-Jul-2019,https://doi.org/10.1080/10476210.2019.1635108,917.0,11.0
The Formal Organization of Knowledge,"Patricia J Gumport, Stuart K Snydman",The Journal of Higher Education,73,3,p375 - p408,2002,10.1080/00221546.2002.11777153,01-Nov-2016,https://doi.org/10.1080/00221546.2002.11777153,449.0,18.0
Serving Rural Youth at Risk: A Portrait of Collaboration and Community,"Robert J Rossi, Pamela B Vergun, Larry J Weise",Journal of Education for Students Placed at Risk (JESPAR),2,3,p213 - p227,1997,10.1207/s15327671espr0203_3,16-Nov-2009,https://doi.org/10.1207/s15327671espr0203_3,55.0,4.0
Modeling students' perceptions of artificial intelligence assisted language learning,"Xin An, Ching Sing Chai, Yushun Li, Bingyu Yang, Ying Zhou",Computer Assisted Language Learning,,,p1 - p22,5187,10.1080/09588221.2023.2246519,16-Aug-2023,https://doi.org/10.1080/09588221.2023.2246519,5044.0,50.0
Peer-Reviewed Abstracts,,Research Quarterly for Exercise and Sport,79,sup1,pa-12 - pa-100,2008,10.1080/02701367.2008.10599474,23-Jan-2013,https://doi.org/10.1080/02701367.2008.10599474,163.0,1.0
Using Personality Profiles to Help Educators Understand Ever-Changing Hospitality Students,"Dori Dennison, Jung Hoon Jay Lee, Melvin R Weber",Journal of Teaching in Travel & Tourism,15,4,p325 - p344,2015,10.1080/15313220.2015.1096478,16-Oct-2015,https://doi.org/10.1080/15313220.2015.1096478,769.0,3.0
A Faster Procedure for Estimating CFA Models Applying Minimum Distance Estimators with a Fixed Weight Matrix,"David Kreiberg, Katerina Marcoulides, Ulf Henning Olsson",Structural Equation Modeling: A Multidisciplinary Journal,28,5,p725 - p739,2021,10.1080/10705511.2020.1835484,17-Dec-2020,https://doi.org/10.1080/10705511.2020.1835484,339.0,5.0
Book Review of Using Multivariate Statistics by Barbara G. Tabachnick and Linda S. Fidell,Lisa L Harlow,Structural Equation Modeling: A Multidisciplinary Journal,9,4,p621 - p636,2002,10.1207/s15328007sem0904_9,19-Nov-2009,https://doi.org/10.1207/s15328007sem0904_9,1462.0,6.0
Assessment Challenges and Solutions With Young Second Language Learning Children,"Sue Bredekamp, Jim Cummins, Edward DeAvila, Blanca Enriquez, Kathy Escamilla, David Francis, Gil Garcia",NHSA Dialog,3,3,p361 - p386,2000,10.1207/s19309325nhsa0303_4,18-Nov-2009,https://doi.org/10.1207/s19309325nhsa0303_4,31.0,0.0
Empirical Bayes Approaches to Multivariate Fuzzy Partitions,"Kenneth G Manton, Max A Woodbury",Multivariate Behavioral Research,26,2,p291 - p321,1991,10.1207/s15327906mbr2602_6,10-Jun-2010,https://doi.org/10.1207/s15327906mbr2602_6,22.0,6.0
"Bayesian Estimation for Gaussian Graphical Models: Structure Learning, Predictability, and Network Comparisons",Donald R Williams,Multivariate Behavioral Research,56,2,p336 - p352,2021,10.1080/00273171.2021.1894412,19-Mar-2021,https://doi.org/10.1080/00273171.2021.1894412,1297.0,45.0
Regression Models for Cylindrical Data in Psychology,"Jolien Cremers, Christophe Ley, Helena J M Pennings",Multivariate Behavioral Research,55,6,p910 - p925,2020,10.1080/00273171.2019.1693332,02-Dec-2019,https://doi.org/10.1080/00273171.2019.1693332,525.0,7.0
"Seeing the Forest, Not the Trees - Crowdsourced Data Collection Methods for Sector-Wide Research","Joseph de la Torre Dwyer, Shaun Field, Kate Flinner, John Fraser, Rupanwita Gupta, Kathryn Nock, Shelley Rank, John Voiklis",Visitor Studies,26,1,p24 - p41,2023,10.1080/10645578.2023.2167404,01-Feb-2023,https://doi.org/10.1080/10645578.2023.2167404,277.0,1.0
Creativity as It Unfolds: An Examination of Temporality in the Creative Process,"Bernard Nijstad, Aart-Jan Riekhoff, Gerben Tolkamp, Bart Verwaeren, Tim Vriend",Creativity Research Journal,37,1,p22 - p43,2025,10.1080/10400419.2023.2234719,18-Jul-2023,https://doi.org/10.1080/10400419.2023.2234719,3146.0,4.0
Semiparametric Structural Equation Models with Interval-Censored Data,"Hongxi Li, Shuwei Li, Xinyuan Song, Liuquan Sun",Structural Equation Modeling: A Multidisciplinary Journal,32,1,p14 - p25,2025,10.1080/10705511.2024.2368023,23-Jul-2024,https://doi.org/10.1080/10705511.2024.2368023,150.0,0.0
The Unmistakable Professional Promise of a Young Educational Psychology Researcher and Scholar,JOEL R LEVIN,Educational Psychologist,43,2,p70 - p85,2008,10.1080/00461520801942276,23-Apr-2008,https://doi.org/10.1080/00461520801942276,242.0,3.0
Relating Latent Change Score and Continuous Time Models,"Johan H L Oud, Manuel C Voelkle",Structural Equation Modeling: A Multidisciplinary Journal,22,3,p366 - p381,2015,10.1080/10705511.2014.935918,06-Nov-2014,https://doi.org/10.1080/10705511.2014.935918,3779.0,46.0
Understanding Linkages Among Mixture Models,Sonya K Sterba,Multivariate Behavioral Research,48,6,p775 - p815,2013,10.1080/00273171.2013.827564,11-Dec-2013,https://doi.org/10.1080/00273171.2013.827564,999.0,57.0
"A Bayesian Vector Autoregressive Model with Nonignorable Missingness in Dependent Variables and Covariates: Development, Evaluation, and Application to Family Processes","Meng Chen, Sy-Miin Chow, E Mark Cummings, Linying Ji, Zhao-Hua Lu, Zita Oravecz",Structural Equation Modeling: A Multidisciplinary Journal,27,3,p442 - p467,2020,10.1080/10705511.2019.1623681,18-Jul-2019,https://doi.org/10.1080/10705511.2019.1623681,571.0,9.0
Abstracts,,Research Quarterly for Exercise and Sport,73,sup1,pa-1 - pa-116,2002,10.1080/02701367.2002.10609056,26-Feb-2013,https://doi.org/10.1080/02701367.2002.10609056,208.0,1.0
